brand,model,repair_type,parts_cost,labour_cost,,,,,,
APPLE,IPHONE 8 / PLUS /SE2/SE3,DISPLAY,200,150,,,,,,
APPLE,IPHONE 8 / PLUS /SE2/SE4,BATERIE,100,150,,,,,,
APPLE,IPHONE 8 / PLUS /SE2/SE5,CARCASA,200,150,,,,,,
APPLE,IPHONE 8 / PLUS /SE2/SE6,MUFA DE INCARCARE,100,150,,,,,,
APPLE,IPHONE 8 / PLUS /SE2/SE7,DIFUZOR,100,150,,,,,,
APPLE,IPHONE X / XS,DISPLAY,300,200,,,,,,
APPLE,IPHONE X / XS,BATERIE,100,200,,,,,,
APPLE,IPHONE X / XS,CARCASA,250,200,,,,,,
APPLE,IPHONE X / XS,MUFA DE INCARCARE,100,200,,,,,,
APPLE,IPHONE X / XS,DIFUZOR,100,200,,,,,,
APPLE,IPHONE XS MAX,DISPLAY,400,200,,,,,,
APPLE,IPHONE XS MAX,BATERIE,100,200,,,,,,
APPLE,IPHONE XS MAX,CARCASA,250,200,,,,,,
APPLE,IPHONE XS MAX,MUFA DE INCARCARE,100,200,,,,,,
APPLE,IPHONE XS MAX,DIFUZOR,100,200,,,,,,
APPLE,IPHONE 11,DISPLAY,300,200,,,,,,
APPLE,IPHONE 11,BATERIE,100,200,,,,,,
APPLE,IPHONE 11,CARCASA,300,200,,,,,,
APPLE,IPHONE 11,MUFA DE INCARCARE,100,250,,,,,,
APPLE,IPHONE 11,DIFUZOR,100,250,,,,,,
APPLE,IPHONE 11 PRO,DISPLAY,400,200,,,,,,
APPLE,IPHONE 11 PRO,BATERIE,100,250,,,,,,
APPLE,IPHONE 11 PRO,CARCASA,250,250,,,,,,
APPLE,IPHONE 11 PRO,MUFA DE INCARCARE,100,250,,,,,,
APPLE,IPHONE 11 PRO,DIFUZOR,100,250,,,,,,
APPLE,IPHONE 11 PRO MAX,DISPLAY,450,200,,,,,,
APPLE,IPHONE 11 PRO MAX,BATERIE,100,250,,,,,,
APPLE,IPHONE 11 PRO MAX,CARCASA,250,250,,,,,,
APPLE,IPHONE 11 PRO MAX,MUFA DE INCARCARE,100,250,,,,,,
APPLE,IPHONE 11 PRO MAX,DIFUZOR,100,250,,,,,,
APPLE,IPHONE 12,DISPLAY,500,250,,,,,,
APPLE,IPHONE 12,BATERIE,400,250,,,,,,
APPLE,IPHONE 12,CARCASA,400,250,,,,,,
APPLE,IPHONE 12,MUFA DE INCARCARE,100,250,,,,,,
APPLE,IPHONE 12,DIFUZOR,100,250,,,,,,
APPLE,IPHONE 12 PRO,DISPLAY,500,250,,,,,,
APPLE,IPHONE 12 PRO,BATERIE,400,250,,,,,,
APPLE,IPHONE 12 PRO,CARCASA,400,250,,,,,,
APPLE,IPHONE 12 PRO,MUFA DE INCARCARE,100,250,,,,,,
APPLE,IPHONE 12 PRO,DIFUZOR,100,250,,,,,,
APPLE,IPHONE 12 PRO MAX,DISPLAY,700,250,,,,,,
APPLE,IPHONE 12 PRO MAX,BATERIE,400,250,,,,,,
APPLE,IPHONE 12 PRO MAX,CARCASA,500,250,,,,,,
APPLE,IPHONE 12 PRO MAX,MUFA DE INCARCARE,100,250,,,,,,
APPLE,IPHONE 12 PRO MAX,DIFUZOR,100,250,,,,,,
APPLE,IPHONE 13,DISPLAY,500,250,,,,,,
APPLE,IPHONE 13,BATERIE,400,250,,,,,,
APPLE,IPHONE 13,CARCASA,400,250,,,,,,
APPLE,IPHONE 13,MUFA DE INCARCARE,100,250,,,,,,
APPLE,IPHONE 13,DIFUZOR,100,250,,,,,,
APPLE,IPHONE 13 PRO,DISPLAY,700,250,,,,,,
APPLE,IPHONE 13 PRO,BATERIE,400,250,,,,,,
APPLE,IPHONE 13 PRO,CARCASA,500,250,,,,,,
APPLE,IPHONE 13 PRO,MUFA DE INCARCARE,100,250,,,,,,
APPLE,IPHONE 13 PRO,DIFUZOR,100,250,,,,,,
APPLE,IPHONE 13 PRO MAX,DISPLAY,1000,250,,,,,,
APPLE,IPHONE 13 PRO MAX,BATERIE,400,250,,,,,,
APPLE,IPHONE 13 PRO MAX,CARCASA,600,250,,,,,,
APPLE,IPHONE 13 PRO MAX,MUFA DE INCARCARE,100,250,,,,,,
APPLE,IPHONE 13 PRO MAX,DIFUZOR,100,250,,,,,,
APPLE,IPHONE 14,DISPLAY,600,250,,,,,,
APPLE,IPHONE 14,BATERIE,400,250,,,,,,
APPLE,IPHONE 14,CARCASA,500,250,,,,,,
APPLE,IPHONE 14,MUFA DE INCARCARE,100,250,,,,,,
APPLE,IPHONE 14,DIFUZOR,100,250,,,,,,
APPLE,IPHONE 14 PLUS,DISPLAY,700,250,,,,,,
APPLE,IPHONE 14 PLUS,BATERIE,400,250,,,,,,
APPLE,IPHONE 14 PLUS,CARCASA,500,250,,,,,,
APPLE,IPHONE 14 PLUS,MUFA DE INCARCARE,100,250,,,,,,
APPLE,IPHONE 14 PLUS,DIFUZOR,100,250,,,,,,
APPLE,IPHONE 14 PRO,DISPLAY,900,250,,,,,,
APPLE,IPHONE 14 PRO,BATERIE,400,250,,,,,,
APPLE,IPHONE 14 PRO,CARCASA,600,250,,,,,,
APPLE,IPHONE 14 PRO,MUFA DE INCARCARE,100,250,,,,,,
APPLE,IPHONE 14 PRO,DIFUZOR,100,250,,,,,,
APPLE,IPHONE 14 PRO MAX,DISPLAY,1500,250,,,,,,
APPLE,IPHONE 14 PRO MAX,BATERIE,400,450,,,,,,
APPLE,IPHONE 14 PRO MAX,CARCASA,700,250,,,,,,
APPLE,IPHONE 14 PRO MAX,MUFA DE INCARCARE,100,250,,,,,,
APPLE,IPHONE 14 PRO MAX,DIFUZOR,100,250,,,,,,
APPLE,IPHONE 15,DISPLAY,1000,350,,,,,,
APPLE,IPHONE 15,BATERIE,400,350,,,,,,
APPLE,IPHONE 15,CARCASA,500,350,,,,,,
APPLE,IPHONE 15,MUFA DE INCARCARE,100,350,,,,,,
APPLE,IPHONE 15,DIFUZOR,100,350,,,,,,
APPLE,IPHONE 15 PLUS,DISPLAY,1100,350,,,,,,
APPLE,IPHONE 15 PLUS,BATERIE,400,350,,,,,,
APPLE,IPHONE 15 PLUS,CARCASA,500,350,,,,,,
APPLE,IPHONE 15 PLUS,MUFA DE INCARCARE,100,350,,,,,,
APPLE,IPHONE 15 PLUS,DIFUZOR,100,350,,,,,,
APPLE,IPHONE 15 PRO,DISPLAY,1500,350,,,,,,
APPLE,IPHONE 15 PRO,BATERIE,400,350,,,,,,
APPLE,IPHONE 15 PRO,CARCASA,600,350,,,,,,
APPLE,IPHONE 15 PRO,MUFA DE INCARCARE,100,350,,,,,,
APPLE,IPHONE 15 PRO,DIFUZOR,100,350,,,,,,
APPLE,IPHONE 15 PRO MAX,DISPLAY,1800,350,,,,,,
APPLE,IPHONE 15 PRO MAX,BATERIE,400,350,,,,,,
APPLE,IPHONE 15 PRO MAX,CARCASA,700,350,,,,,,
APPLE,IPHONE 15 PRO MAX,MUFA DE INCARCARE,100,350,,,,,,
APPLE,IPHONE 15 PRO MAX,DIFUZOR,100,350,,,,,,
APPLE,IPHONE 16,DISPLAY,1300,350,,,,,,
APPLE,IPHONE 16,BATERIE,400,350,,,,,,
APPLE,IPHONE 16,CARCASA,600,350,,,,,,
APPLE,IPHONE 16,MUFA DE INCARCARE,100,350,,,,,,
APPLE,IPHONE 16,DIFUZOR,100,350,,,,,,
APPLE,IPHONE 16 PLUS,DISPLAY,1500,350,,,,,,
APPLE,IPHONE 16 PLUS,BATERIE,400,350,,,,,,
APPLE,IPHONE 16 PLUS,CARCASA,700,350,,,,,,
APPLE,IPHONE 16 PLUS,MUFA DE INCARCARE,100,350,,,,,,
APPLE,IPHONE 16 PLUS,DIFUZOR,100,350,,,,,,
APPLE,IPHONE 16 PRO,DISPLAY,1900,350,,,,,,
APPLE,IPHONE 16 PRO,BATERIE,400,350,,,,,,
APPLE,IPHONE 16 PRO,CARCASA,700,350,,,,,,
APPLE,IPHONE 16 PRO,MUFA DE INCARCARE,100,350,,,,,,
APPLE,IPHONE 16 PRO,DIFUZOR,100,350,,,,,,
APPLE,IPHONE 16 PRO MAX,DISPLAY,2200,350,,,,,,
APPLE,IPHONE 16 PRO MAX,BATERIE,400,350,,,,,,
APPLE,IPHONE 16 PRO MAX,CARCASA,900,350,,,,,,
APPLE,IPHONE 16 PRO MAX,MUFA DE INCARCARE,100,350,,,,,,
APPLE,IPHONE 16 PRO MAX,DIFUZOR,100,350,,,,,,
APPLE,IPHONE 17,DISPLAY,1600,350,,,,,,
APPLE,IPHONE 17,BATERIE,400,350,,,,,,
APPLE,IPHONE 17,CARCASA,500,350,,,,,,
APPLE,IPHONE 17,MUFA DE INCARCARE,100,350,,,,,,
APPLE,IPHONE 17,DIFUZOR,100,350,,,,,,
APPLE,IPHONE 17 AIR,DISPLAY,2100,350,,,,,,
APPLE,IPHONE 17 AIR,BATERIE,400,350,,,,,,
APPLE,IPHONE 17 AIR,CARCASA,900,350,,,,,,
APPLE,IPHONE 17 AIR,MUFA DE INCARCARE,100,350,,,,,,
APPLE,IPHONE 17 AIR,DIFUZOR,100,350,,,,,,
APPLE,IPHONE 17 PRO,DISPLAY,2100,350,,,,,,
APPLE,IPHONE 17 PRO,BATERIE,400,350,,,,,,
APPLE,IPHONE 17 PRO,CARCASA,1000,350,,,,,,
APPLE,IPHONE 17 PRO,MUFA DE INCARCARE,100,350,,,,,,
APPLE,IPHONE 17 PRO,DIFUZOR,100,350,,,,,,
APPLE,IPHONE 17 PRO MAX,DISPLAY,2600,350,,,,,,
APPLE,IPHONE 17 PRO MAX,BATERIE,400,350,,,,,,
APPLE,IPHONE 17 PRO MAX,CARCASA,1100,350,,,,,,
APPLE,IPHONE 17 PRO MAX,MUFA DE INCARCARE,100,350,,,,,,
APPLE,IPHONE 17 PRO MAX,DIFUZOR,100,350,,,,,,
SAMSUNG,SAMSUNG GALAXY S10,DISPLAY,800,250,,,,,,
SAMSUNG,SAMSUNG GALAXY S10,BATERIE,100,250,,,,,,
SAMSUNG,SAMSUNG GALAXY S10,CARCASA,200,100,,,,,,
SAMSUNG,SAMSUNG GALAXY S10,MUFA DE INCARCARE,50,250,,,,,,
SAMSUNG,SAMSUNG GALAXY S10,DIFUZOR,80,250,,,,,,
SAMSUNG,SAMSUNG GALAXY S10 PLUS,DISPLAY,900,250,,,,,,
SAMSUNG,SAMSUNG GALAXY S10 PLUS,BATERIE,100,250,,,,,,
SAMSUNG,SAMSUNG GALAXY S10 PLUS,CARCASA,200,100,,,,,,
SAMSUNG,SAMSUNG GALAXY S10 PLUS,MUFA DE INCARCARE,50,250,,,,,,
SAMSUNG,SAMSUNG GALAXY S10 PLUS,DIFUZOR,50,250,,,,,,
SAMSUNG,SAMSUNG GALAXY S20,DISPLAY,900,250,,,,,,
SAMSUNG,SAMSUNG GALAXY S20,BATERIE,100,250,,,,,,
SAMSUNG,SAMSUNG GALAXY S20,CARCASA,200,100,,,,,,
SAMSUNG,SAMSUNG GALAXY S20,MUFA DE INCARCARE,50,250,,,,,,
SAMSUNG,SAMSUNG GALAXY S20,DIFUZOR,50,250,,,,,,
SAMSUNG,SAMSUNG GALAXY S20 PLUS,DISPLAY,900,250,,,,,,
SAMSUNG,SAMSUNG GALAXY S20 PLUS,BATERIE,100,250,,,,,,
SAMSUNG,SAMSUNG GALAXY S20 PLUS,CARCASA,200,100,,,,,,
SAMSUNG,SAMSUNG GALAXY S20 PLUS,MUFA DE INCARCARE,50,250,,,,,,
SAMSUNG,SAMSUNG GALAXY S20 PLUS,DIFUZOR,50,250,,,,,,
SAMSUNG,SAMSUNG GALAXY S20 ULTRA,DISPLAY,1000,250,,,,,,
SAMSUNG,SAMSUNG GALAXY S20 ULTRA,BATERIE,100,250,,,,,,
SAMSUNG,SAMSUNG GALAXY S20 ULTRA,CARCASA,200,100,,,,,,
SAMSUNG,SAMSUNG GALAXY S20 ULTRA,MUFA DE INCARCARE,50,250,,,,,,
SAMSUNG,SAMSUNG GALAXY S20 ULTRA,DIFUZOR,50,250,,,,,,
SAMSUNG,SAMSUNG GALAXY S21,DISPLAY,700,250,,,,,,
SAMSUNG,SAMSUNG GALAXY S21,BATERIE,100,250,,,,,,
SAMSUNG,SAMSUNG GALAXY S21,CARCASA,200,100,,,,,,
SAMSUNG,SAMSUNG GALAXY S21,MUFA DE INCARCARE,50,250,,,,,,
SAMSUNG,SAMSUNG GALAXY S21,DIFUZOR,50,250,,,,,,
SAMSUNG,SAMSUNG GALAXY S21 PLUS,DISPLAY,800,250,,,,,,
SAMSUNG,SAMSUNG GALAXY S21 PLUS,BATERIE,100,250,,,,,,
SAMSUNG,SAMSUNG GALAXY S21 PLUS,CARCASA,200,100,,,,,,
SAMSUNG,SAMSUNG GALAXY S21 PLUS,MUFA DE INCARCARE,50,250,,,,,,
SAMSUNG,SAMSUNG GALAXY S21 PLUS,DIFUZOR,50,250,,,,,,
SAMSUNG,SAMSUNG GALAXY S21 ULTRA,DISPLAY,1150,250,,,,,,
SAMSUNG,SAMSUNG GALAXY S21 ULTRA,BATERIE,100,250,,,,,,
SAMSUNG,SAMSUNG GALAXY S21 ULTRA,CARCASA,200,100,,,,,,
SAMSUNG,SAMSUNG GALAXY S21 ULTRA,MUFA DE INCARCARE,50,250,,,,,,
SAMSUNG,SAMSUNG GALAXY S21 ULTRA,DIFUZOR,50,250,,,,,,
SAMSUNG,SAMSUNG GALAXY S22,DISPLAY,750,250,,,,,,
SAMSUNG,SAMSUNG GALAXY S22,BATERIE,200,250,,,,,,
SAMSUNG,SAMSUNG GALAXY S22,CARCASA,200,100,,,,,,
SAMSUNG,SAMSUNG GALAXY S22,MUFA DE INCARCARE,50,250,,,,,,
SAMSUNG,SAMSUNG GALAXY S22,DIFUZOR,50,250,,,,,,
SAMSUNG,SAMSUNG GALAXY S22 PLUS,DISPLAY,700,250,,,,,,
SAMSUNG,SAMSUNG GALAXY S22 PLUS,BATERIE,200,250,,,,,,
SAMSUNG,SAMSUNG GALAXY S22 PLUS,CARCASA,200,100,,,,,,
SAMSUNG,SAMSUNG GALAXY S22 PLUS,MUFA DE INCARCARE,50,250,,,,,,
SAMSUNG,SAMSUNG GALAXY S22 PLUS,DIFUZOR,50,250,,,,,,
SAMSUNG,SAMSUNG GALAXY S22 ULTRA,DISPLAY,1150,250,,,,,,
SAMSUNG,SAMSUNG GALAXY S22 ULTRA,BATERIE,200,250,,,,,,
SAMSUNG,SAMSUNG GALAXY S22 ULTRA,CARCASA,200,100,,,,,,
SAMSUNG,SAMSUNG GALAXY S22 ULTRA,MUFA DE INCARCARE,100,250,,,,,,
SAMSUNG,SAMSUNG GALAXY S22 ULTRA,DIFUZOR,100,250,,,,,,
SAMSUNG,SAMSUNG GALAXY S23,DISPLAY,700,250,,,,,,
SAMSUNG,SAMSUNG GALAXY S23,BATERIE,100,250,,,,,,
SAMSUNG,SAMSUNG GALAXY S23,CARCASA,200,100,,,,,,
SAMSUNG,SAMSUNG GALAXY S23,MUFA DE INCARCARE,50,250,,,,,,
SAMSUNG,SAMSUNG GALAXY S23,DIFUZOR,50,250,,,,,,
SAMSUNG,SAMSUNG GALAXY S23 PLUS,DISPLAY,800,250,,,,,,
SAMSUNG,SAMSUNG GALAXY S23 PLUS,BATERIE,100,250,,,,,,
SAMSUNG,SAMSUNG GALAXY S23 PLUS,CARCASA,300,100,,,,,,
SAMSUNG,SAMSUNG GALAXY S23 PLUS,MUFA DE INCARCARE,50,250,,,,,,
SAMSUNG,SAMSUNG GALAXY S23 PLUS,DIFUZOR,50,250,,,,,,
SAMSUNG,SAMSUNG GALAXY S23 ULTRA,DISPLAY,1150,250,,,,,,
SAMSUNG,SAMSUNG GALAXY S23 ULTRA,BATERIE,200,250,,,,,,
SAMSUNG,SAMSUNG GALAXY S23 ULTRA,CARCASA,300,100,,,,,,
SAMSUNG,SAMSUNG GALAXY S23 ULTRA,MUFA DE INCARCARE,100,250,,,,,,
SAMSUNG,SAMSUNG GALAXY S23 ULTRA,DIFUZOR,100,250,,,,,,
SAMSUNG,SAMSUNG GALAXY S24,DISPLAY,800,250,,,,,,
SAMSUNG,SAMSUNG GALAXY S24,BATERIE,200,250,,,,,,
SAMSUNG,SAMSUNG GALAXY S24,CARCASA,300,100,,,,,,
SAMSUNG,SAMSUNG GALAXY S24,MUFA DE INCARCARE,100,250,,,,,,
SAMSUNG,SAMSUNG GALAXY S24,DIFUZOR,100,250,,,,,,
SAMSUNG,SAMSUNG GALAXY S24 PLUS,DISPLAY,900,250,,,,,,
SAMSUNG,SAMSUNG GALAXY S24 PLUS,BATERIE,200,250,,,,,,
SAMSUNG,SAMSUNG GALAXY S24 PLUS,CARCASA,300,100,,,,,,
SAMSUNG,SAMSUNG GALAXY S24 PLUS,MUFA DE INCARCARE,100,250,,,,,,
SAMSUNG,SAMSUNG GALAXY S24 PLUS,DIFUZOR,100,250,,,,,,
SAMSUNG,SAMSUNG GALAXY S24 ULTRA,DISPLAY,1350,250,,,,,,
SAMSUNG,SAMSUNG GALAXY S24 ULTRA,BATERIE,200,250,,,,,,
SAMSUNG,SAMSUNG GALAXY S24 ULTRA,CARCASA,300,100,,,,,,
SAMSUNG,SAMSUNG GALAXY S24 ULTRA,MUFA DE INCARCARE,100,250,,,,,,
SAMSUNG,SAMSUNG GALAXY S24 ULTRA,DIFUZOR,100,250,,,,,,
SAMSUNG,SAMSUNG GALAXY S25,DISPLAY,900,250,,,,,,
SAMSUNG,SAMSUNG GALAXY S25,BATERIE,250,250,,,,,,
SAMSUNG,SAMSUNG GALAXY S25,CARCASA,200,100,,,,,,
SAMSUNG,SAMSUNG GALAXY S25,MUFA DE INCARCARE,150,250,,,,,,
SAMSUNG,SAMSUNG GALAXY S25,DIFUZOR,150,250,,,,,,
SAMSUNG,SAMSUNG GALAXY S25 PLUS,DISPLAY,1000,250,,,,,,
SAMSUNG,SAMSUNG GALAXY S25 PLUS,BATERIE,250,250,,,,,,
SAMSUNG,SAMSUNG GALAXY S25 PLUS,CARCASA,200,100,,,,,,
SAMSUNG,SAMSUNG GALAXY S25 PLUS,MUFA DE INCARCARE,150,250,,,,,,
SAMSUNG,SAMSUNG GALAXY S25 PLUS,DIFUZOR,150,250,,,,,,
SAMSUNG,SAMSUNG GALAXY S25 ULTRA,DISPLAY,1350,250,,,,,,
SAMSUNG,SAMSUNG GALAXY S25 ULTRA,BATERIE,250,250,,,,,,
